Parc_Id,Address Full_c,Parc_Prop_Class,Parc_Forc_Year,Parc_Occupied,Parc_Prop_Assmt,Parc_Minimum_Bid,Parc_BrownField,Zoning,Showings week,Website Publish End Date,Parc_Year_Built,Legal Description,FH_Cleanout,Offer Deadline,FH_Asking Price,Parc_Asking_Price,GCLB Owned,Parc_LRC_Sold,R4R Status,Tbl_Prop_Cat_Meaning,A_parc_CP__PID Interest::Adopt Date,A_parc_CP__PID Interest::Adopt_Void_Date
4636426004,"363 E MOORE ST
FLINT, MI 48505",401,2011,,17100,6756.06,A,,11/08/2023,,0,DEWEY HOMESTEAD ADDITION LOT 67,x,11/20/2023,2500,0,,,Re-R4R,,,
4636426005,"367 E MOORE ST
FLINT, MI 48505",402,2005,,100,1405.14,C,,11/08/2023,,1922,DEWEY HOMESTEAD ADDITION. LOT 66.,x,11/20/2023,2500,,,,,,,
4635477030,"3701 DONNELLY ST
FLINT, MI 48504",401,2015,No,9700,0,A,,01/26/2023,01/10/2025,1949,DONNELLY ADDITION LOT 274.,x,02/06/2023,3500,0,Yes,P,Re-R4R,,,
4635477029,"3705 DONNELLY ST
FLINT, MI 48504",402,2012,,12800,3163.18,A,,01/26/2023,,1949,DONNELLY ADDITION LOT 275.,x,02/06/2023,3500,0,Yes,P,Pending,,,
4635455011,"3714 LAWNDALE AVE
FLINT, MI 48504",401,2017,No,6800,2224.02,A,,01/13/2023,04/17/2025,1950,"WM. C. LAW, SUBDIVISION SLY 1/2 OF LOT 32 AND LOT 33 EXC S'LY 15 FT",x,01/23/2023,4500,0,Yes,P,Re-R4R,,,
4636410011,"372 DAMON ST
FLINT, MI 48505",402,2011,,12200,5654.24,A,,11/09/2023,,1927,PASADENA LOTS 187 AND 188 EXC W 80 FT; ALSO EXC E 46 FT,x,11/20/2023,2500,0,,,,,,
4635454011,"3722 STERLING ST
FLINT, MI 48504",401,2010,No,21100,1946.24,A,,,,1951,WM. C LAW SUBDIVISION LOT 94,,,5000,0,,,Hold,,,
4636410012,"376 DAMON ST
FLINT, MI 48505",401,2017,No,8700,2175.56,A,,11/09/2023,,0,PASADENA E 46 FT OF LOTS 187 AND 188.,x,11/20/2023,2500,0,,,Re-R4R,,,
4022282028,"3822 HOGARTH AVE
FLINT, MI 48532-5234",401,2024,No,,3345.01,A,,,08/22/2025,1926,CHEVROLET SUBDIVISION LOT 531,heavy,,20000,,,,Re-R4R,,,
4635352022,"3901 WISNER ST
FLINT, MI 48504-3708",401,2024,No,,3687.27,A,,,04/04/2025,1955,WASENA SUBDIVISION LOT 163 AND SLY 10 FT OF LOT 164,,,8000,,,,Re-R4R,,,
4130104004,"3913 BRUNSWICK AVE
FLINT, MI 48507-2416",401,2024,No,,3037.46,A,,,,1924,ATHERTON PARK LOT 289,,,5000,,,,Needs Pictures,,,
